VTV
YTV _ TH Yên Bái,udp://@225.1.1.39:30120
LTV _ TH Lai Châu,udp://@225.1.2.36:30120
STV _ TH Sơn La,udp://@225.1.1.98:30120
HGTV _ TH Hà Giang,udp://@225.1.1.62:30120
QTV3 _ TH Quảng Ninh,udp://@225.1.2.180:30120
THHN _ TH Hà Nam,udp://@225.1.1.63:30120
THD _ TH Hải Dương,udp://@225.1.1.158:30120
HY _ TH Hưng Yên,udp://@225.1.1.118:30120
NTV _ TH Nam Định,udp://@225.1.1.120:30120
TBTV _ TH Thái Bình,udp://@225.1.1.99:30120
VP _ TH Vĩnh Phúc,udp://@225.1.2.99:30120
TTV _ TH Thanh Hóa,udp://@225.1.2.184:30120
QBTV _ TH Quảng Bình,udp://@225.1.2.164:30120
TRT _ TH Thừa Thiên Huế,udp://@225.1.1.161:30120
NTV _ TH Ninh Thuận,udp://@225.1.2.178:30120
DRT _ TH Đắk Lắk,udp://@225.1.1.64:30120
BPTV1 _ TH Bình Phước,udp://@225.1.2.23:30120
BPTV2 _ TH Bình Phước,udp://@225.1.2.38:30120
BTV6 _ TH Bình Dương,udp://@225.1.1.223:30120
LA34 _ TH Long An,udp://@225.1.1.162:30120
ATV _ TH An Giang,udp://@225.1.2.173:30120
THBT _ TH Bến Tre,udp://@225.1.1.156:30120
STV1 _ TH Sóc Trăng,udp://@225.1.1.159:30120

Quốc Tế (HD)
Animal Planet,udp://@225.1.1.231:30120
Animax,udp://@225.1.1.135:30120
Asian Food Network,udp://@225.1.1.198:30120
AXN HD,udp://@225.1.2.225:30120
Baby TV HD,udp://@225.1.2.146:30120
BBC CbeeBies,udp://@225.1.1.134:30120
BBC Earth,udp://@225.1.2.24:30120
BOOMERANG,udp://@225.1.1.138:30120
BLUE ANT ENTERTAINMENT,udp://@225.1.1.203:30120
BLUE ANT EXTREME,udp://@225.1.1.204:30120
CARTOON NETWORK HD,udp://@225.1.2.231:30120
Cinema World HD,udp://@225.1.1.142:30120
Cinemax HD,udp://@225.1.2.86:30120
Da Vinci,udp://@225.1.1.197:30120
Discovery Asia HD,udp://@225.1.2.223:30120
Discovery Channel HD,udp://@225.1.1.238:30120
Dreamworks,udp://@225.1.1.136:30120
DW,udp://@225.1.1.46:30120
Fashion TV HD,udp://@225.1.2.227:30120
HBO HD,udp://@225.1.4.90:30120
KIX,udp://@225.1.2.144:30120
NATIONAL GEOGRAPHIC HD,udp://@225.1.2.235:30120
NAT GEO WILD,udp://@225.1.1.211:30120
NHK WORLD,udp://@225.1.1.47:30120
Outdoor Channel,udp://@225.1.2.215:30120
TLC,udp://@225.1.1.236:30120
Warner TV HD,udp://@225.1.1.139:30120

Quốc Tế (SD)
Arirang,udp://@225.1.1.201:30120
ABC AUSTRALIA,udp://@225.1.2.21:30120
BBC Lifestyle,udp://@225.1.2.52:30120
BBC WORLD NEWS,udp://@225.1.2.74:30120
CNA,udp://@225.1.1.202:30120
CNBC,udp://@225.1.1.227:30120
CNN,udp://@225.1.1.242:30120
FRANCE 24,udp://@225.1.2.211:30120
KBS WORLD,udp://@225.1.1.196:30120
TV5MONDE ASIE,udp://@225.1.1.200:30120

CLEAN FEED
FEED 1 SPORTS,udp://@225.1.1.30:30120
FEED 2 SPORTS,udp://@225.1.1.28:30120
FEED 3 SPORTS,udp://@225.1.1.27:30120
FEED 4 SPORTS,udp://@225.1.1.10:30120
FEED 5 SPORTS,udp://@225.1.1.31:30120

K+
K+ Cine HD (DRM),udp://@225.1.1.5:30120
K+ Life HD (DRM),udp://@225.1.1.6:30120
K+ Kids HD (DRM),udp://@225.1.1.76:30120
K+ Sport 1 HD (DRM),udp://@225.1.1.73:30120
K+ Sport 2 HD (DRM),udp://@225.1.1.77:30120
